"FIPS","Year","Group","Value","MOE"
"0900133620","2006-2010","Total Living with One Parent, Not in Work Force",285,170.490468941815
"0900133620","2006-2010","Total Living with Two Parents",13931,651.801350105997
"0900133620","2006-2010","Total Living with Two Parents, Neither in Work Force",116,144.062486442516
"0900148620","2006-2010","Total Children",5076,198
"0900148620","2006-2010","Total Living with One Parent",543,173.519451359206
"0900148620","2006-2010","Total Living with One Parent, Not in Work Force",9,213.569660766692
"0900148620","2006-2010","Total Living with Two Parents",4533,372.413748403573
"0900148620","2006-2010","Total Living with Two Parents, Neither in Work Force",21,127.349911660747
"0900150580","2006-2010","Total Children",6413,279
"0900150580","2006-2010","Total Living with One Parent",538,207.32824216686
"0900150580","2006-2010","Total Living with One Parent, Not in Work Force",36,217.33844574764
"0900150580","2006-2010","Total Living with Two Parents",5875,404.654173338173
"0900150580","2006-2010","Total Living with Two Parents, Neither in Work Force",61,134.736780427617
"0900150860","2006-2010","Total Children",3756,195
"0900150860","2006-2010","Total Living with One Parent",447,188.162164103201
"0900150860","2006-2010","Total Living with One Parent, Not in Work Force",21,214.389831848434
"0900150860","2006-2010","Total Living with Two Parents",3309,296.514755113468
"0900150860","2006-2010","Total Living with Two Parents, Neither in Work Force",12,124.458828533777
"0900152980","2006-2010","Total Children",7321,307
"0900152980","2006-2010","Total Living with One Parent",746,231.741235001456
"0900152980","2006-2010","Total Living with One Parent, Not in Work Force",149,196.056114416256
"0900152980","2006-2010","Total Living with Two Parents",6575,383.220563122597
"0900152980","2006-2010","Total Living with Two Parents, Neither in Work Force",25,128.160056179763
"0900156060","2006-2010","Total Children",17300,878
"0900156060","2006-2010","Total Living with One Parent",5137,673.905037820612
"0900156060","2006-2010","Total Living with One Parent, Not in Work Force",547,276.296941713078
"0900156060","2006-2010","Total Living with Two Parents",12163,747.588790713183
"0900156060","2006-2010","Total Living with Two Parents, Neither in Work Force",151,97.8008179924892
"0900163480","2006-2010","Total Children",2365,131
"0900163480","2006-2010","Total Living with One Parent",265,124.277914369368
"0900163480","2006-2010","Total Living with One Parent, Not in Work Force",11,213.642224290986
"0900163480","2006-2010","Total Living with Two Parents",2100,236.448725942856
"0900163480","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900163970","2006-2010","Total Children",7333,243
"0900163970","2006-2010","Total Living with One Parent",708,262.908729410037
"0900163970","2006-2010","Total Living with One Parent, Not in Work Force",88,134.082064423248
"0900163970","2006-2010","Total Living with Two Parents",6625,378.889165851968
"0900163970","2006-2010","Total Living with Two Parents, Neither in Work Force",137,114.402797168601
"0900168170","2006-2010","Total Children",8276,312
"0900168170","2006-2010","Total Living with One Parent",1494,300.188274254675
"0900168170","2006-2010","Total Living with One Parent, Not in Work Force",148,159.040875249101
"0900168170","2006-2010","Total Living with Two Parents",6782,421.042753173594
"0900168170","2006-2010","Total Living with Two Parents, Neither in Work Force",57,139.118654392572
"0900168310","2006-2010","Total Children",847,107
"0900168310","2006-2010","Total Living with One Parent",97,66.2117814289874
"0900168310","2006-2010","Total Living with One Parent, Not in Work Force",9,213.719442260174
"0900168310","2006-2010","Total Living with Two Parents",750,143.680200445294
"0900168310","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900173070","2006-2010","Total Children",24946,804
"0900173070","2006-2010","Total Living with One Parent",5986,786.270309753586
"0900173070","2006-2010","Total Living with One Parent, Not in Work Force",839,309.538365958083
"0900173070","2006-2010","Total Living with Two Parents",18960,924.018398085233
"0900173070","2006-2010","Total Living with Two Parents, Neither in Work Force",124,79.6492310069595
"0900174190","2006-2010","Total Children",10997,467
"0900174190","2006-2010","Total Living with One Parent",2640,420.594816896262
"0900174190","2006-2010","Total Living with One Parent, Not in Work Force",233,159.332984657917
"0900174190","2006-2010","Total Living with Two Parents",8357,597.556691871156
"0900174190","2006-2010","Total Living with Two Parents, Neither in Work Force",22,125.514939349864
"0900177200","2006-2010","Total Children",8953,364
"0900177200","2006-2010","Total Living with One Parent",846,198.600100704909
"0900177200","2006-2010","Total Living with One Parent, Not in Work Force",67,134.617977996997
"0900177200","2006-2010","Total Living with Two Parents",8107,508.43386983953
"0900177200","2006-2010","Total Living with Two Parents, Neither in Work Force",108,89.4706655837543
"0900183430","2006-2010","Total Children",3354,133
"0900183430","2006-2010","Total Living with One Parent",261,125.936491931449
"0900183430","2006-2010","Total Living with One Parent, Not in Work Force",14,175.071414000116
"0900183430","2006-2010","Total Living with Two Parents",3093,276.007246281687
"0900183430","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900183500","2006-2010","Total Children",7858,245
"0900183500","2006-2010","Total Living with One Parent",825,223.143451618012
"0900183500","2006-2010","Total Living with One Parent, Not in Work Force",260,224.879967982922
"0900183500","2006-2010","Total Living with Two Parents",7033,412.742050196003
"0900183500","2006-2010","Total Living with Two Parents, Neither in Work Force",124,145.113748487178
"0900186370","2006-2010","Total Children",5786,202
"0900186370","2006-2010","Total Living with One Parent",404,125.865007051205
"0900186370","2006-2010","Total Living with One Parent, Not in Work Force",88,186.566342087741
"0900186370","2006-2010","Total Living with Two Parents",5382,370.656174911467
"0900186370","2006-2010","Total Living with Two Parents, Neither in Work Force",81,52.6972485050216
"0900302060","2006-2010","Total Children",4713,205
"0900302060","2006-2010","Total Living with One Parent",629,212.877899275618
"0900302060","2006-2010","Total Living with One Parent, Not in Work Force",113,141.837935687178
"0900302060","2006-2010","Total Living with Two Parents",4084,289.006920332369
"0900302060","2006-2010","Total Living with Two Parents, Neither in Work Force",42,131.320219311422
"0900304300","2006-2010","Total Children",4332,235
"0900304300","2006-2010","Total Living with One Parent",871,251.406046068904
"0900304300","2006-2010","Total Living with One Parent, Not in Work Force",23,216.404713442198
"0900304300","2006-2010","Total Living with Two Parents",3461,374.973332385118
"0900304300","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900305910","2006-2010","Total Children",3263,274
"0900305910","2006-2010","Total Living with One Parent",1051,222.827287377466
"0900305910","2006-2010","Total Living with One Parent, Not in Work Force",50,219.296602800864
"0900305910","2006-2010","Total Living with Two Parents",2212,357.471677199747
"0900305910","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900308490","2006-2010","Total Children",12501,528
"0900308490","2006-2010","Total Living with One Parent",3932,575.892351051826
"0900308490","2006-2010","Total Living with One Parent, Not in Work Force",364,161.335055087231
"0900308490","2006-2010","Total Living with Two Parents",8569,659.67946762045
"0900308490","2006-2010","Total Living with Two Parents, Neither in Work Force",207,161.830157881651
"0900310100","2006-2010","Total Children",2656,151
"0900310100","2006-2010","Total Living with One Parent",396,135.558105622644
"0900310100","2006-2010","Total Living with One Parent, Not in Work Force",16,214.622925150134
"0900310100","2006-2010","Total Living with Two Parents",2260,235.41028014936
"0900310100","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900312270","2006-2010","Total Children",2442,164
"0900312270","2006-2010","Total Living with One Parent",433,158.902485820707
"0900312270","2006-2010","Total Living with One Parent, Not in Work Force",63,194.92562684265
"0900312270","2006-2010","Total Living with Two Parents",2009,193.279590231354
"0900312270","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900322070","2006-2010","Total Children",1191,145
"0900322070","2006-2010","Total Living with One Parent",61,45.6070170039655
"0900322070","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900322070","2006-2010","Total Living with Two Parents",1130,184.764715246175
"0900322070","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900322630","2006-2010","Total Children",11466,540
"0900322630","2006-2010","Total Living with One Parent",5229,592.170583531469
"0900322630","2006-2010","Total Living with One Parent, Not in Work Force",744,282.536723276816
"0900322630","2006-2010","Total Living with Two Parents",6237,608.802102493084
"0900322630","2006-2010","Total Living with Two Parents, Neither in Work Force",286,208.655218003289
"0900324800","2006-2010","Total Children",2367,256
"0900324800","2006-2010","Total Living with One Parent",723,266.717078568284
"0900324800","2006-2010","Total Living with One Parent, Not in Work Force",39,221.603249073654
"0900324800","2006-2010","Total Living with Two Parents",1644,272.957872207416
"0900324800","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900325990","2006-2010","Total Children",8773,422
"0900325990","2006-2010","Total Living with One Parent",2458,390.356247548313
"0900325990","2006-2010","Total Living with One Parent, Not in Work Force",264,175.131379255689
"0900325990","2006-2010","Total Living with Two Parents",6315,484.979381005007
"0900325990","2006-2010","Total Living with Two Parents, Neither in Work Force",18,124.615408357073
"0900327600","2006-2010","Total Children",5739,372
"0900327600","2006-2010","Total Living with One Parent",958,309.276575252637
"0900327600","2006-2010","Total Living with One Parent, Not in Work Force",121,236.201185433096
"0900327600","2006-2010","Total Living with Two Parents",4781,371.215570794114
"0900327600","2006-2010","Total Living with Two Parents, Neither in Work Force",82,69.0289794216893
"0900331240","2006-2010","Total Children",8611,329
"0900331240","2006-2010","Total Living with One Parent",1418,276.799566473649
"0900331240","2006-2010","Total Living with One Parent, Not in Work Force",130,193.209730603818
"0900331240","2006-2010","Total Living with Two Parents",7193,458.460467216095
"0900331240","2006-2010","Total Living with Two Parents, Neither in Work Force",8,123.583979544276
"0900332640","2006-2010","Total Children",2772,171
"0900332640","2006-2010","Total Living with One Parent",459,146.154028339967
"0900332640","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900332640","2006-2010","Total Living with Two Parents",2313,251.835263614927
"0900332640","2006-2010","Total Living with Two Parents, Neither in Work Force",9,123.91125856838
"0900337070","2006-2010","Total Children",30873,1047
"0900337070","2006-2010","Total Living with One Parent",22588,1234.31641000191
"0900337070","2006-2010","Total Living with One Parent, Not in Work Force",5888,803.008094604282
"0900337070","2006-2010","Total Living with Two Parents",8285,761.883193147086
"0900337070","2006-2010","Total Living with Two Parents, Neither in Work Force",290,194.858923326595
"0900337140","2006-2010","Total Children",471,63
"0900337140","2006-2010","Total Living with One Parent",24,14.8660687473185
"0900337140","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900337140","2006-2010","Total Living with Two Parents",447,73.9256383131049
"0900337140","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900344700","2006-2010","Total Children",11926,553
"0900344700","2006-2010","Total Living with One Parent",4405,505.668863981163
"0900344700","2006-2010","Total Living with One Parent, Not in Work Force",489,226.190185463472
"0900344700","2006-2010","Total Living with Two Parents",7521,595.628239760339
"0900344700","2006-2010","Total Living with Two Parents, Neither in Work Force",6,123.405834546021
"0900345820","2006-2010","Total Children",1627,112
"0900345820","2006-2010","Total Living with One Parent",262,124.739729036101
"0900345820","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900345820","2006-2010","Total Living with Two Parents",1365,203.342076314766
"0900345820","2006-2010","Total Living with Two Parents, Neither in Work Force",12,124.458828533777
"0900350440","2006-2010","Total Children",15295,824
"0900350440","2006-2010","Total Living with One Parent",8684,712.084966840334
"0900350440","2006-2010","Total Living with One Parent, Not in Work Force",1809,381.169253744318
"0900350440","2006-2010","Total Living with Two Parents",6611,653.902897990214
"0900350440","2006-2010","Total Living with Two Parents, Neither in Work Force",73,171.840041899436
"0900352140","2006-2010","Total Children",5942,389
"0900352140","2006-2010","Total Living with One Parent",1147,256.284997610083
"0900352140","2006-2010","Total Living with One Parent, Not in Work Force",108,137.484544585928
"0900352140","2006-2010","Total Living with Two Parents",4795,451.398936640307
"0900352140","2006-2010","Total Living with Two Parents, Neither in Work Force",35,39.8246155034798
"0900360120","2006-2010","Total Children",3498,372
"0900360120","2006-2010","Total Living with One Parent",1272,431.027841328144
"0900360120","2006-2010","Total Living with One Parent, Not in Work Force",94,142.975522380581
"0900360120","2006-2010","Total Living with Two Parents",2226,278.756165851089
"0900360120","2006-2010","Total Living with Two Parents, Neither in Work Force",75,66.4906008395172
"0900365370","2006-2010","Total Children",3714,342
"0900365370","2006-2010","Total Living with One Parent",514,156.923548264752
"0900365370","2006-2010","Total Living with One Parent, Not in Work Force",32,218.604666006927
"0900365370","2006-2010","Total Living with Two Parents",3200,366.652423965804
"0900365370","2006-2010","Total Living with Two Parents, Neither in Work Force",41,133.932818980263
"0900368940","2006-2010","Total Children",6499,296
"0900368940","2006-2010","Total Living with One Parent",831,318.498037670564
"0900368940","2006-2010","Total Living with One Parent, Not in Work Force",81,190.29976353112
"0900368940","2006-2010","Total Living with Two Parents",5668,399.239276624933
"0900368940","2006-2010","Total Living with Two Parents, Neither in Work Force",84,57.974132162543
"0900370550","2006-2010","Total Children",9381,320
"0900370550","2006-2010","Total Living with One Parent",1688,352.784636853704
"0900370550","2006-2010","Total Living with One Parent, Not in Work Force",262,174.771279105006
"0900370550","2006-2010","Total Living with Two Parents",7693,493.235237995016
"0900370550","2006-2010","Total Living with Two Parents, Neither in Work Force",108,78.7464284904401
"0900371390","2006-2010","Total Children",6176,235
"0900371390","2006-2010","Total Living with One Parent",1045,271.543734967316
"0900371390","2006-2010","Total Living with One Parent, Not in Work Force",85,188.199362379366
"0900371390","2006-2010","Total Living with Two Parents",5131,428.385340552172
"0900371390","2006-2010","Total Living with Two Parents, Neither in Work Force",27,130.299654642674
"0900374540","2006-2010","Total Children",3137,214
"0900374540","2006-2010","Total Living with One Parent",690,222.854212434946
"0900374540","2006-2010","Total Living with One Parent, Not in Work Force",66,188.708770331429
"0900374540","2006-2010","Total Living with Two Parents",2447,282.577423018896
"0900374540","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900382590","2006-2010","Total Children",14259,456
"0900382590","2006-2010","Total Living with One Parent",2778,416.707331348994
"0900382590","2006-2010","Total Living with One Parent, Not in Work Force",285,199.546986947937
"0900382590","2006-2010","Total Living with Two Parents",11481,564.217156775651
"0900382590","2006-2010","Total Living with Two Parents, Neither in Work Force",110,67.8969807870718
"0900384900","2006-2010","Total Children",5621,283
"0900384900","2006-2010","Total Living with One Parent",1084,253.30021713374
"0900384900","2006-2010","Total Living with One Parent, Not in Work Force",138,147.536436177644
"0900384900","2006-2010","Total Living with Two Parents",4537,379.494400485699
"0900384900","2006-2010","Total Living with Two Parents, Neither in Work Force",44,41.4004830889689
"0900387000","2006-2010","Total Children",6244,316
"0900387000","2006-2010","Total Living with One Parent",1975,387.289297554167
"0900387000","2006-2010","Total Living with One Parent, Not in Work Force",107,150.089973016188
"0900387000","2006-2010","Total Living with Two Parents",4269,386.704021184161
"0900387000","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900387070","2006-2010","Total Children",2543,200
"0900387070","2006-2010","Total Living with One Parent",890,226.258701490131
"0900387070","2006-2010","Total Living with One Parent, Not in Work Force",86,187.776462848782
"0900387070","2006-2010","Total Living with Two Parents",1653,254.825430442097
"0900387070","2006-2010","Total Living with Two Parents, Neither in Work Force",18,21.9317121994613
"0900502760","2006-2010","Total Children",889,134
"0900502760","2006-2010","Total Living with One Parent",93,55.3624421426656
"0900502760","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900502760","2006-2010","Total Living with Two Parents",796,170.856665073388
"0900502760","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900504930","2006-2010","Total Children",727,113
"0900504930","2006-2010","Total Living with One Parent",78,66.2193325245732
"0900504930","2006-2010","Total Living with One Parent, Not in Work Force",24,216.951607507296
"0900504930","2006-2010","Total Living with Two Parents",649,139.946418317869
"0900504930","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900508210","2006-2010","Total Children",296,51
"0900508210","2006-2010","Total Living with One Parent",54,28.1602556806574
"0900508210","2006-2010","Total Living with One Parent, Not in Work Force",11,174.226863600307
"0900508210","2006-2010","Total Living with Two Parents",242,50.60632371552
"0900508210","2006-2010","Total Living with Two Parents, Neither in Work Force",14,11.6619037896906
"0900510940","2006-2010","Total Children",203,48
"0900510940","2006-2010","Total Living with One Parent",62,29.4108823397055
"0900510940","2006-2010","Total Living with One Parent, Not in Work Force",3,213.100915061386
"0900510940","2006-2010","Total Living with Two Parents",141,41.8688428309166
"0900510940","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900516050","2006-2010","Total Children",257,37
"0900516050","2006-2010","Total Living with One Parent",38,21.9317121994613
"0900516050","2006-2010","Total Living with One Parent, Not in Work Force",7,213.326041542049
"0900516050","2006-2010","Total Living with Two Parents",219,39.6610640301039
"0900516050","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900517240","2006-2010","Total Children",330,94
"0900517240","2006-2010","Total Living with One Parent",27,15.6524758424985
"0900517240","2006-2010","Total Living with One Parent, Not in Work Force",10,123.276112852409
"0900517240","2006-2010","Total Living with Two Parents",303,96.0468635614927
"0900517240","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900532290","2006-2010","Total Children",536,105
"0900532290","2006-2010","Total Living with One Parent",89,51.1077293567226
"0900532290","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900532290","2006-2010","Total Living with Two Parents",447,101.074230147946
"0900532290","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900537280","2006-2010","Total Children",1232,91
"0900537280","2006-2010","Total Living with One Parent",153,70.8378429936994
"0900537280","2006-2010","Total Living with One Parent, Not in Work Force",13,213.801309631162
"0900537280","2006-2010","Total Living with Two Parents",1079,161.152102065099
"0900537280","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900540290","2006-2010","Total Children",511,122
"0900540290","2006-2010","Total Living with One Parent",186,85.4458893101359
"0900540290","2006-2010","Total Living with One Parent, Not in Work Force",61,188.10369480688
"0900540290","2006-2010","Total Living with Two Parents",325,155.913437522235
"0900540290","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900543370","2006-2010","Total Children",1877,173
"0900543370","2006-2010","Total Living with One Parent",303,105.990565617889
"0900543370","2006-2010","Total Living with One Parent, Not in Work Force",34,178.78478682483
"0900543370","2006-2010","Total Living with Two Parents",1574,204.707107839469
"0900543370","2006-2010","Total Living with Two Parents, Neither in Work Force",11,14.3178210632764
"0900549460","2006-2010","Total Children",503,151
"0900549460","2006-2010","Total Living with One Parent",23,124.779806058513
"0900549460","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900549460","2006-2010","Total Living with Two Parents",480,127.263506159464
"0900549460","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900551350","2006-2010","Total Children",1604,139
"0900551350","2006-2010","Total Living with One Parent",341,167.260276216441
"0900551350","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900551350","2006-2010","Total Living with Two Parents",1263,218.686990925386
"0900551350","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900552630","2006-2010","Total Children",6734,313
"0900552630","2006-2010","Total Living with One Parent",1090,249.128480908948
"0900552630","2006-2010","Total Living with One Parent, Not in Work Force",88,191.893199462618
"0900552630","2006-2010","Total Living with Two Parents",5644,495.362493533776
"0900552630","2006-2010","Total Living with Two Parents, Neither in Work Force",35,129.340635532689
"0900553470","2006-2010","Total Children",354,73
"0900553470","2006-2010","Total Living with One Parent",70,35.7770876399966
"0900553470","2006-2010","Total Living with One Parent, Not in Work Force",3,213.100915061386
"0900553470","2006-2010","Total Living with Two Parents",284,69.6347614342147
"0900553470","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900554030","2006-2010","Total Children",628,188
"0900554030","2006-2010","Total Living with One Parent",355,152.315462117278
"0900554030","2006-2010","Total Living with One Parent, Not in Work Force",51,230.121706929181
"0900554030","2006-2010","Total Living with Two Parents",273,138.43771162512
"0900554030","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900560750","2006-2010","Total Children",2764,214
"0900560750","2006-2010","Total Living with One Parent",622,189.362087018495
"0900560750","2006-2010","Total Living with One Parent, Not in Work Force",158,116.163677627734
"0900560750","2006-2010","Total Living with Two Parents",2142,253.242966338653
"0900560750","2006-2010","Total Living with Two Parents, Neither in Work Force",36,135.988970140964
"0900565930","2006-2010","Total Children",408,80
"0900565930","2006-2010","Total Living with One Parent",69,43.5660418215839
"0900565930","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900565930","2006-2010","Total Living with Two Parents",339,88.2383136738231
"0900565930","2006-2010","Total Living with Two Parents, Neither in Work Force",23,126.846363763413
"0900566420","2006-2010","Total Children",607,166
"0900566420","2006-2010","Total Living with One Parent",308,116.661904664719
"0900566420","2006-2010","Total Living with One Parent, Not in Work Force",20,214.389831848434
"0900566420","2006-2010","Total Living with Two Parents",299,135.594985158006
"0900566420","2006-2010","Total Living with Two Parents, Neither in Work Force",21,126.146739949949
"0900567960","2006-2010","Total Children",426,123
"0900567960","2006-2010","Total Living with One Parent",62,132.774244490413
"0900567960","2006-2010","Total Living with One Parent, Not in Work Force",15,214.389831848434
"0900567960","2006-2010","Total Living with Two Parents",364,129.653384066904
"0900567960","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900575730","2006-2010","Total Children",1722,162
"0900575730","2006-2010","Total Living with One Parent",289,121.597697346619
"0900575730","2006-2010","Total Living with One Parent, Not in Work Force",87,233.263799163093
"0900575730","2006-2010","Total Living with Two Parents",1433,240.750908617185
"0900575730","2006-2010","Total Living with Two Parents, Neither in Work Force",57,62.9364759102383
"0900576570","2006-2010","Total Children",7639,345
"0900576570","2006-2010","Total Living with One Parent",2707,431.566912540802
"0900576570","2006-2010","Total Living with One Parent, Not in Work Force",251,167.839208768392
"0900576570","2006-2010","Total Living with Two Parents",4932,454.059467470947
"0900576570","2006-2010","Total Living with Two Parents, Neither in Work Force",37,129.973074134607
"0900579510","2006-2010","Total Children",311,60
"0900579510","2006-2010","Total Living with One Parent",35,20.6155281280883
"0900579510","2006-2010","Total Living with One Parent, Not in Work Force",8,174.367428151017
"0900579510","2006-2010","Total Living with Two Parents",276,66.2872536767062
"0900579510","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900579720","2006-2010","Total Children",635,99
"0900579720","2006-2010","Total Living with One Parent",104,65.1152823843988
"0900579720","2006-2010","Total Living with One Parent, Not in Work Force",16,174.91712323269
"0900579720","2006-2010","Total Living with Two Parents",531,116.180893437777
"0900579720","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900580490","2006-2010","Total Children",4960,287
"0900580490","2006-2010","Total Living with One Parent",764,227.378539004894
"0900580490","2006-2010","Total Living with One Parent, Not in Work Force",42,129.383151917087
"0900580490","2006-2010","Total Living with Two Parents",4196,397.001259443846
"0900580490","2006-2010","Total Living with Two Parents, Neither in Work Force",25,129.340635532689
"0900586440","2006-2010","Total Children",2492,287
"0900586440","2006-2010","Total Living with One Parent",905,295.787085586913
"0900586440","2006-2010","Total Living with One Parent, Not in Work Force",157,205.299780808456
"0900586440","2006-2010","Total Living with Two Parents",1587,234.437624966642
"0900586440","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900587910","2006-2010","Total Children",2024,192
"0900587910","2006-2010","Total Living with One Parent",206,88.2383136738231
"0900587910","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900587910","2006-2010","Total Living with Two Parents",1818,234.616708697399
"0900587910","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900700000","2006-2010","Total Children",0,123
"0900700000","2006-2010","Total Living with One Parent",0,173.948268171891
"0900700000","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900700000","2006-2010","Total Living with Two Parents",0,173.948268171891
"0900700000","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900714300","2006-2010","Total Children",847,127
"0900714300","2006-2010","Total Living with One Parent",261,130.831953283592
"0900714300","2006-2010","Total Living with One Parent, Not in Work Force",21,215.898124123393
"0900714300","2006-2010","Total Living with Two Parents",586,153.941547348336
"0900714300","2006-2010","Total Living with Two Parents, Neither in Work Force",30,128.444540561287
"0900715350","2006-2010","Total Children",2876,166
"0900715350","2006-2010","Total Living with One Parent",465,141.992957571846
"0900715350","2006-2010","Total Living with One Parent, Not in Work Force",28,216.951607507296
"0900715350","2006-2010","Total Living with Two Parents",2411,264.259342313569
"0900715350","2006-2010","Total Living with Two Parents, Neither in Work Force",10,123.794184031399
"0900718080","2006-2010","Total Children",2687,206
"0900718080","2006-2010","Total Living with One Parent",509,164.648109615628
"0900718080","2006-2010","Total Living with One Parent, Not in Work Force",10,213.801309631162
"0900718080","2006-2010","Total Living with Two Parents",2178,261.84728373615
"0900718080","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900719130","2006-2010","Total Children",918,116
"0900719130","2006-2010","Total Living with One Parent",162,115.256236273791
"0900719130","2006-2010","Total Living with One Parent, Not in Work Force",0,246
"0900719130","2006-2010","Total Living with Two Parents",756,172.037786547026
"0900719130","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900720810","2006-2010","Total Children",1861,128
"0900720810","2006-2010","Total Living with One Parent",136,77.7946013551069
