"Town","FIPS","Year","Family Type","Parent Employment Status","Measure Type","Variable","Value"
"Andover","0901301080","2011-2015","Living with One Parent","All","Number","Margins of Error",100.57
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Number","Margins of Error",25.63
"Andover","0901301080","2011-2015","Living with Two Parents","All","Number","Margins of Error",82.62
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Number","Margins of Error",16.97
"Andover","0901301080","2011-2015","All","All","Number","Non-Working Parents",674
"Andover","0901301080","2011-2015","Living with One Parent","All","Number","Non-Working Parents",139
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",10
"Andover","0901301080","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",535
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2011-2015","Living with One Parent","All","Percent","Margins of Error",0.15
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.04
"Andover","0901301080","2011-2015","Living with Two Parents","All","Percent","Margins of Error",0.03
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Andover","0901301080","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",20.62
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.48
"Andover","0901301080","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",79.38
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2012-2016","All","All","Number","Margins of Error",74
"Andover","0901301080","2012-2016","Living with One Parent","All","Number","Margins of Error",63.15
"Andover","0901301080","2012-2016","Living with One Parent","Not in Work Force","Number","Margins of Error",31
"Andover","0901301080","2012-2016","Living with Two Parents","All","Number","Margins of Error",92.09
"Andover","0901301080","2012-2016","Living with Two Parents","Not in Work Force","Number","Margins of Error",16.97
"Andover","0901301080","2012-2016","All","All","Number","Non-Working Parents",598
"Andover","0901301080","2012-2016","Living with One Parent","All","Number","Non-Working Parents",68
"Andover","0901301080","2012-2016","Living with One Parent","Not in Work Force","Number","Non-Working Parents",15
"Andover","0901301080","2012-2016","Living with Two Parents","All","Number","Non-Working Parents",530
"Andover","0901301080","2012-2016","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2012-2016","Living with One Parent","All","Percent","Margins of Error",0.1
"Andover","0901301080","2012-2016","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Andover","0901301080","2012-2016","Living with Two Parents","All","Percent","Margins of Error",0.11
"Andover","0901301080","2012-2016","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Andover","0901301080","2012-2016","Living with One Parent","All","Percent","Non-Working Parents",11.37
"Andover","0901301080","2012-2016","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.51
"Andover","0901301080","2012-2016","Living with Two Parents","All","Percent","Non-Working Parents",88.63
"Andover","0901301080","2012-2016","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2013-2017","All","All","Number","Margins of Error",60
"Andover","0901301080","2013-2017","Living with One Parent","All","Number","Margins of Error",52.55
"Andover","0901301080","2013-2017","Living with One Parent","Not in Work Force","Number","Margins of Error",32.51
"Andover","0901301080","2013-2017","Living with Two Parents","All","Number","Margins of Error",91.05
"Andover","0901301080","2013-2017","Living with Two Parents","Not in Work Force","Number","Margins of Error",16.97
"Andover","0901301080","2013-2017","All","All","Number","Non-Working Parents",617
"Andover","0901301080","2013-2017","Living with One Parent","All","Number","Non-Working Parents",77
"Andover","0901301080","2013-2017","Living with One Parent","Not in Work Force","Number","Non-Working Parents",17
"Andover","0901301080","2013-2017","Living with Two Parents","All","Number","Non-Working Parents",540
"Andover","0901301080","2013-2017","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2013-2017","Living with One Parent","All","Percent","Margins of Error",0.08
"Andover","0901301080","2013-2017","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Andover","0901301080","2013-2017","Living with Two Parents","All","Percent","Margins of Error",0.12
"Andover","0901301080","2013-2017","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Andover","0901301080","2013-2017","Living with One Parent","All","Percent","Non-Working Parents",12.48
"Andover","0901301080","2013-2017","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.76
"Andover","0901301080","2013-2017","Living with Two Parents","All","Percent","Non-Working Parents",87.52
"Andover","0901301080","2013-2017","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2014-2018","All","All","Number","Margins of Error",88
"Andover","0901301080","2014-2018","Living with One Parent","All","Number","Margins of Error",52.43
"Andover","0901301080","2014-2018","Living with One Parent","Not in Work Force","Number","Margins of Error",36.5
"Andover","0901301080","2014-2018","Living with Two Parents","All","Number","Margins of Error",116.81
"Andover","0901301080","2014-2018","Living with Two Parents","Not in Work Force","Number","Margins of Error",16.97
"Andover","0901301080","2014-2018","All","All","Number","Non-Working Parents",598
"Andover","0901301080","2014-2018","Living with One Parent","All","Number","Non-Working Parents",96
"Andover","0901301080","2014-2018","Living with One Parent","Not in Work Force","Number","Non-Working Parents",34
"Andover","0901301080","2014-2018","Living with Two Parents","All","Number","Non-Working Parents",502
"Andover","0901301080","2014-2018","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2014-2018","Living with One Parent","All","Percent","Margins of Error",0.08
"Andover","0901301080","2014-2018","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.06
"Andover","0901301080","2014-2018","Living with Two Parents","All","Percent","Margins of Error",0.15
"Andover","0901301080","2014-2018","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Andover","0901301080","2014-2018","Living with One Parent","All","Percent","Non-Working Parents",16.05
"Andover","0901301080","2014-2018","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",5.69
"Andover","0901301080","2014-2018","Living with Two Parents","All","Percent","Non-Working Parents",83.95
"Andover","0901301080","2014-2018","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2015-2019","All","All","Number","Margins of Error",87
"Andover","0901301080","2015-2019","Living with One Parent","All","Number","Margins of Error",59.08
"Andover","0901301080","2015-2019","Living with One Parent","Not in Work Force","Number","Margins of Error",40.71
"Andover","0901301080","2015-2019","Living with Two Parents","All","Number","Margins of Error",113.23
"Andover","0901301080","2015-2019","Living with Two Parents","Not in Work Force","Number","Margins of Error",16.97
"Andover","0901301080","2015-2019","All","All","Number","Non-Working Parents",572
"Andover","0901301080","2015-2019","Living with One Parent","All","Number","Non-Working Parents",94
"Andover","0901301080","2015-2019","Living with One Parent","Not in Work Force","Number","Non-Working Parents",30
"Andover","0901301080","2015-2019","Living with Two Parents","All","Number","Non-Working Parents",478
"Andover","0901301080","2015-2019","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2015-2019","Living with One Parent","All","Percent","Margins of Error",0.1
"Andover","0901301080","2015-2019","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.07
"Andover","0901301080","2015-2019","Living with Two Parents","All","Percent","Margins of Error",0.15
"Andover","0901301080","2015-2019","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Andover","0901301080","2015-2019","Living with One Parent","All","Percent","Non-Working Parents",16.43
"Andover","0901301080","2015-2019","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",5.24
"Andover","0901301080","2015-2019","Living with Two Parents","All","Percent","Non-Working Parents",83.57
"Andover","0901301080","2015-2019","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2006-2010","All","All","Number","Margins of Error",431
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Number","Margins of Error",371.64
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Number","Margins of Error",226.78
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Number","Margins of Error",411.54
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Number","Margins of Error",173.95
"Ansonia","0900901220","2006-2010","All","All","Number","Non-Working Parents",4216
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Number","Non-Working Parents",1444
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",312
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",2772
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Percent","Margins of Error",0.08
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Percent","Margins of Error",0.07
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.04
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",34.25
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.4
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",65.75
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2007-2011","All","All","Number","Margins of Error",450
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Number","Margins of Error",465.43
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Number","Margins of Error",208.73
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Number","Margins of Error",484.64
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Number","Margins of Error",130.11
"Ansonia","0900901220","2007-2011","All","All","Number","Non-Working Parents",4465
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Number","Non-Working Parents",1907
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",292
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",2558
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Percent","Margins of Error",0.09
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Percent","Margins of Error",0.09
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.03
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",42.71
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",6.54
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",57.29
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2008-2012","All","All","Number","Margins of Error",437
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Number","Margins of Error",555.21
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Number","Margins of Error",191.97
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Number","Margins of Error",487.05
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Number","Margins of Error",26.87
"Ansonia","0900901220","2008-2012","All","All","Number","Non-Working Parents",4373
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Number","Non-Working Parents",2044
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",338
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",2329
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Percent","Margins of Error",0.12
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.04
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Percent","Margins of Error",0.1
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.01
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",46.74
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.73
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",53.26
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2009-2013","All","All","Number","Margins of Error",418
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Number","Margins of Error",480.23
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Number","Margins of Error",196.5
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Number","Margins of Error",519.71
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Number","Margins of Error",26.87
"Ansonia","0900901220","2009-2013","All","All","Number","Non-Working Parents",4139
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Number","Non-Working Parents",1681
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Number","Non-Working Parents",419
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Number","Non-Working Parents",2458
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Percent","Margins of Error",0.11
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Percent","Margins of Error",0.11
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.01
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",40.61
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",10.12
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",59.39
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2010-2014","All","All","Number","Margins of Error",374
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Number","Margins of Error",370.26
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Number","Margins of Error",191.15
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Number","Margins of Error",472.22
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Number","Margins of Error",26.87
"Ansonia","0900901220","2010-2014","All","All","Number","Non-Working Parents",4124
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Number","Non-Working Parents",1641
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",429
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",2483
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Percent","Margins of Error",0.08
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Percent","Margins of Error",0.1
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.01
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",39.79
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",10.4
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",60.21
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2011-2015","All","All","Number","Margins of Error",377
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Number","Margins of Error",350.7
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Number","Margins of Error",182.4
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Number","Margins of Error",507.93
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Number","Margins of Error",29.07
"Ansonia","0900901220","2011-2015","All","All","Number","Non-Working Parents",4166
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Number","Non-Working Parents",1591
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",329
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",2575
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",22
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Percent","Margins of Error",0.08
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.04
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Percent","Margins of Error",0.11
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.01
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",38.19
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.9
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",61.81
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0.53
"Ansonia","0900901220","2012-2016","All","All","Number","Margins of Error",474
"Ansonia","0900901220","2012-2016","Living with One Parent","All","Number","Margins of Error",366.14
"Ansonia","0900901220","2012-2016","Living with One Parent","Not in Work Force","Number","Margins of Error",193.32
"Ansonia","0900901220","2012-2016","Living with Two Parents","All","Number","Margins of Error",511.27
"Ansonia","0900901220","2012-2016","Living with Two Parents","Not in Work Force","Number","Margins of Error",33.02
"Ansonia","0900901220","2012-2016","All","All","Number","Non-Working Parents",4001
"Ansonia","0900901220","2012-2016","Living with One Parent","All","Number","Non-Working Parents",1456
"Ansonia","0900901220","2012-2016","Living with One Parent","Not in Work Force","Number","Non-Working Parents",341
"Ansonia","0900901220","2012-2016","Living with Two Parents","All","Number","Non-Working Parents",2545
"Ansonia","0900901220","2012-2016","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",21
"Ansonia","0900901220","2012-2016","Living with One Parent","All","Percent","Margins of Error",0.08
"Ansonia","0900901220","2012-2016","Living with One Parent","Not in Work Force","Percent","Margins of Error",0.05
"Ansonia","0900901220","2012-2016","Living with Two Parents","All","Percent","Margins of Error",0.1
"Ansonia","0900901220","2012-2016","Living with Two Parents","Not in Work Force","Percent","Margins of Error",0.01
"Ansonia","0900901220","2012-2016","Living with One Parent","All","Percent","Non-Working Parents",36.39
"Ansonia","0900901220","2012-2016","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",8.52
"Ansonia","0900901220","2012-2016","Living with Two Parents","All","Percent","Non-Working Parents",63.61
"Ansonia","0900901220","2012-2016","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0.52
"Ansonia","0900901220","2013-2017","All","All","Number","Margins of Error",491
"Ansonia","0900901220","2013-2017","Living with One Parent","All","Number","Margins of Error",388.68
"Ansonia","0900901220","2013-2017","Living with One Parent","Not in Work Force","Number","Margins of Error",148.1
"Ansonia","0900901220","2013-2017","Living with Two Parents","All","Number","Margins of Error",552.33
"Ansonia","0900901220","2013-2017","Living with Two Parents","Not in Work Force","Number","Margins of Error",46.1
"Ansonia","0900901220","2013-2017","All","All","Number","Non-Working Parents",4090
"Ansonia","0900901220","2013-2017","Living with One Parent","All","Number","Non-Working Parents",1409
"Ansonia","0900901220","2013-2017","Living with One Parent","Not in Work Force","Number","Non-Working Parents",229
"Ansonia","0900901220","2013-2017","Living with Two Parents","All","Number","Non-Working Parents",2681
"Ansonia","0900901220","2013-2017","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",45
