"Town","FIPS","Year","Family Type","Parent Employment Status","Measure Type","Variable","Value"
"Andover","0901301080","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2009-2013","Living with One Parent","All","Percent","Margin of Error",0.12
"Andover","0901301080","2009-2013","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.03
"Andover","0901301080","2009-2013","Living with Two Parents","All","Percent","Margin of Error",0.17
"Andover","0901301080","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Andover","0901301080","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",18.83
"Andover","0901301080","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",81.17
"Andover","0901301080","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2010-2014","All","All","Number","Margin of Error",111.4
"Andover","0901301080","2010-2014","Living with One Parent","All","Number","Margin of Error",90.82
"Andover","0901301080","2010-2014","Living with One Parent","Not in Work Force","Number","Margin of Error",37.32
"Andover","0901301080","2010-2014","Living with Two Parents","All","Number","Margin of Error",99.02
"Andover","0901301080","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",16.97
"Andover","0901301080","2010-2014","All","All","Number","Non-Working Parents",735
"Andover","0901301080","2010-2014","Living with One Parent","All","Number","Non-Working Parents",157
"Andover","0901301080","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",22
"Andover","0901301080","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",578
"Andover","0901301080","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.12
"Andover","0901301080","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Andover","0901301080","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.06
"Andover","0901301080","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Andover","0901301080","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",21.36
"Andover","0901301080","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",2.99
"Andover","0901301080","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",78.64
"Andover","0901301080","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Andover","0901301080","2011-2015","All","All","Number","Margin of Error",103.25
"Andover","0901301080","2011-2015","Living with One Parent","All","Number","Margin of Error",100.57
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",25.63
"Andover","0901301080","2011-2015","Living with Two Parents","All","Number","Margin of Error",82.62
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",16.97
"Andover","0901301080","2011-2015","All","All","Number","Non-Working Parents",674
"Andover","0901301080","2011-2015","Living with One Parent","All","Number","Non-Working Parents",139
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",10
"Andover","0901301080","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",535
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Andover","0901301080","2011-2015","Living with One Parent","All","Percent","Margin of Error",0.15
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Andover","0901301080","2011-2015","Living with Two Parents","All","Percent","Margin of Error",0.02
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.03
"Andover","0901301080","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",20.62
"Andover","0901301080","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",1.48
"Andover","0901301080","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",79.38
"Andover","0901301080","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2006-2010","All","All","Number","Margin of Error",495.04
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Number","Margin of Error",371.64
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Number","Margin of Error",226.78
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Number","Margin of Error",411.54
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Number","Margin of Error",173.95
"Ansonia","0900901220","2006-2010","All","All","Number","Non-Working Parents",4216
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Number","Non-Working Parents",1444
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",312
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",2772
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Percent","Margin of Error",0.08
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Percent","Margin of Error",0.06
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.04
"Ansonia","0900901220","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",34.25
"Ansonia","0900901220","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.4
"Ansonia","0900901220","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",65.75
"Ansonia","0900901220","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2007-2011","All","All","Number","Margin of Error",546.01
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Number","Margin of Error",465.43
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Number","Margin of Error",208.73
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Number","Margin of Error",484.64
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Number","Margin of Error",130.11
"Ansonia","0900901220","2007-2011","All","All","Number","Non-Working Parents",4465
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Number","Non-Working Parents",1907
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",292
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",2558
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Percent","Margin of Error",0.09
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Percent","Margin of Error",0.08
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.03
"Ansonia","0900901220","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",42.71
"Ansonia","0900901220","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",6.54
"Ansonia","0900901220","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",57.29
"Ansonia","0900901220","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2008-2012","All","All","Number","Margin of Error",635.69
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Number","Margin of Error",555.21
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Number","Margin of Error",191.97
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Number","Margin of Error",487.05
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Number","Margin of Error",26.87
"Ansonia","0900901220","2008-2012","All","All","Number","Non-Working Parents",4373
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Number","Non-Working Parents",2044
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",338
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",2329
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Percent","Margin of Error",0.11
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Percent","Margin of Error",0.08
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Ansonia","0900901220","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",46.74
"Ansonia","0900901220","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.73
"Ansonia","0900901220","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",53.26
"Ansonia","0900901220","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2009-2013","All","All","Number","Margin of Error",564.32
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Number","Margin of Error",480.23
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Number","Margin of Error",196.5
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Number","Margin of Error",519.71
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Number","Margin of Error",26.87
"Ansonia","0900901220","2009-2013","All","All","Number","Non-Working Parents",4139
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Number","Non-Working Parents",1681
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Number","Non-Working Parents",419
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Number","Non-Working Parents",2458
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Percent","Margin of Error",0.1
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Percent","Margin of Error",0.1
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Ansonia","0900901220","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",40.61
"Ansonia","0900901220","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",10.12
"Ansonia","0900901220","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",59.39
"Ansonia","0900901220","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2010-2014","All","All","Number","Margin of Error",472.35
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Number","Margin of Error",370.26
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Number","Margin of Error",191.15
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Number","Margin of Error",472.22
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",26.87
"Ansonia","0900901220","2010-2014","All","All","Number","Non-Working Parents",4124
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Number","Non-Working Parents",1641
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",429
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",2483
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.08
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.09
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Ansonia","0900901220","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",39.79
"Ansonia","0900901220","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",10.4
"Ansonia","0900901220","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",60.21
"Ansonia","0900901220","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ansonia","0900901220","2011-2015","All","All","Number","Margin of Error",495.01
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Number","Margin of Error",350.7
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",182.4
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Number","Margin of Error",507.93
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",29.07
"Ansonia","0900901220","2011-2015","All","All","Number","Non-Working Parents",4166
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Number","Non-Working Parents",1591
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",329
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",2575
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",22
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Percent","Margin of Error",0.07
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.04
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Percent","Margin of Error",0.1
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.01
"Ansonia","0900901220","2011-2015","Living with One Parent","All","Percent","Non-Working Parents",38.19
"Ansonia","0900901220","2011-2015","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",7.9
"Ansonia","0900901220","2011-2015","Living with Two Parents","All","Percent","Non-Working Parents",61.81
"Ansonia","0900901220","2011-2015","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0.53
"Ashford","0901501430","2006-2010","All","All","Number","Margin of Error",140.36
"Ashford","0901501430","2006-2010","Living with One Parent","All","Number","Margin of Error",87.13
"Ashford","0901501430","2006-2010","Living with One Parent","Not in Work Force","Number","Margin of Error",179.99
"Ashford","0901501430","2006-2010","Living with Two Parents","All","Number","Margin of Error",146.49
"Ashford","0901501430","2006-2010","Living with Two Parents","Not in Work Force","Number","Margin of Error",173.95
"Ashford","0901501430","2006-2010","All","All","Number","Non-Working Parents",889
"Ashford","0901501430","2006-2010","Living with One Parent","All","Number","Non-Working Parents",179
"Ashford","0901501430","2006-2010","Living with One Parent","Not in Work Force","Number","Non-Working Parents",41
"Ashford","0901501430","2006-2010","Living with Two Parents","All","Number","Non-Working Parents",710
"Ashford","0901501430","2006-2010","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ashford","0901501430","2006-2010","Living with One Parent","All","Percent","Margin of Error",0.09
"Ashford","0901501430","2006-2010","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.2
"Ashford","0901501430","2006-2010","Living with Two Parents","All","Percent","Margin of Error",0.11
"Ashford","0901501430","2006-2010","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.2
"Ashford","0901501430","2006-2010","Living with One Parent","All","Percent","Non-Working Parents",20.13
"Ashford","0901501430","2006-2010","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",4.61
"Ashford","0901501430","2006-2010","Living with Two Parents","All","Percent","Non-Working Parents",79.87
"Ashford","0901501430","2006-2010","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ashford","0901501430","2007-2011","All","All","Number","Margin of Error",183.05
"Ashford","0901501430","2007-2011","Living with One Parent","All","Number","Margin of Error",77.83
"Ashford","0901501430","2007-2011","Living with One Parent","Not in Work Force","Number","Margin of Error",138.74
"Ashford","0901501430","2007-2011","Living with Two Parents","All","Number","Margin of Error",184.88
"Ashford","0901501430","2007-2011","Living with Two Parents","Not in Work Force","Number","Margin of Error",130.11
"Ashford","0901501430","2007-2011","All","All","Number","Non-Working Parents",908
"Ashford","0901501430","2007-2011","Living with One Parent","All","Number","Non-Working Parents",181
"Ashford","0901501430","2007-2011","Living with One Parent","Not in Work Force","Number","Non-Working Parents",46
"Ashford","0901501430","2007-2011","Living with Two Parents","All","Number","Non-Working Parents",727
"Ashford","0901501430","2007-2011","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ashford","0901501430","2007-2011","Living with One Parent","All","Percent","Margin of Error",0.08
"Ashford","0901501430","2007-2011","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.15
"Ashford","0901501430","2007-2011","Living with Two Parents","All","Percent","Margin of Error",0.12
"Ashford","0901501430","2007-2011","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.14
"Ashford","0901501430","2007-2011","Living with One Parent","All","Percent","Non-Working Parents",19.93
"Ashford","0901501430","2007-2011","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",5.07
"Ashford","0901501430","2007-2011","Living with Two Parents","All","Percent","Non-Working Parents",80.07
"Ashford","0901501430","2007-2011","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ashford","0901501430","2008-2012","All","All","Number","Margin of Error",170.85
"Ashford","0901501430","2008-2012","Living with One Parent","All","Number","Margin of Error",93.81
"Ashford","0901501430","2008-2012","Living with One Parent","Not in Work Force","Number","Margin of Error",51.78
"Ashford","0901501430","2008-2012","Living with Two Parents","All","Number","Margin of Error",178.9
"Ashford","0901501430","2008-2012","Living with Two Parents","Not in Work Force","Number","Margin of Error",16.97
"Ashford","0901501430","2008-2012","All","All","Number","Non-Working Parents",910
"Ashford","0901501430","2008-2012","Living with One Parent","All","Number","Non-Working Parents",196
"Ashford","0901501430","2008-2012","Living with One Parent","Not in Work Force","Number","Non-Working Parents",43
"Ashford","0901501430","2008-2012","Living with Two Parents","All","Number","Non-Working Parents",714
"Ashford","0901501430","2008-2012","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ashford","0901501430","2008-2012","Living with One Parent","All","Percent","Margin of Error",0.09
"Ashford","0901501430","2008-2012","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.06
"Ashford","0901501430","2008-2012","Living with Two Parents","All","Percent","Margin of Error",0.13
"Ashford","0901501430","2008-2012","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Ashford","0901501430","2008-2012","Living with One Parent","All","Percent","Non-Working Parents",21.54
"Ashford","0901501430","2008-2012","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",4.73
"Ashford","0901501430","2008-2012","Living with Two Parents","All","Percent","Non-Working Parents",78.46
"Ashford","0901501430","2008-2012","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ashford","0901501430","2009-2013","All","All","Number","Margin of Error",136.48
"Ashford","0901501430","2009-2013","Living with One Parent","All","Number","Margin of Error",89.04
"Ashford","0901501430","2009-2013","Living with One Parent","Not in Work Force","Number","Margin of Error",47.95
"Ashford","0901501430","2009-2013","Living with Two Parents","All","Number","Margin of Error",137.41
"Ashford","0901501430","2009-2013","Living with Two Parents","Not in Work Force","Number","Margin of Error",16.97
"Ashford","0901501430","2009-2013","All","All","Number","Non-Working Parents",890
"Ashford","0901501430","2009-2013","Living with One Parent","All","Number","Non-Working Parents",198
"Ashford","0901501430","2009-2013","Living with One Parent","Not in Work Force","Number","Non-Working Parents",48
"Ashford","0901501430","2009-2013","Living with Two Parents","All","Number","Non-Working Parents",692
"Ashford","0901501430","2009-2013","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",0
"Ashford","0901501430","2009-2013","Living with One Parent","All","Percent","Margin of Error",0.09
"Ashford","0901501430","2009-2013","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Ashford","0901501430","2009-2013","Living with Two Parents","All","Percent","Margin of Error",0.1
"Ashford","0901501430","2009-2013","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Ashford","0901501430","2009-2013","Living with One Parent","All","Percent","Non-Working Parents",22.25
"Ashford","0901501430","2009-2013","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",5.39
"Ashford","0901501430","2009-2013","Living with Two Parents","All","Percent","Non-Working Parents",77.75
"Ashford","0901501430","2009-2013","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",0
"Ashford","0901501430","2010-2014","All","All","Number","Margin of Error",120.93
"Ashford","0901501430","2010-2014","Living with One Parent","All","Number","Margin of Error",98.41
"Ashford","0901501430","2010-2014","Living with One Parent","Not in Work Force","Number","Margin of Error",43.57
"Ashford","0901501430","2010-2014","Living with Two Parents","All","Number","Margin of Error",128.81
"Ashford","0901501430","2010-2014","Living with Two Parents","Not in Work Force","Number","Margin of Error",20.52
"Ashford","0901501430","2010-2014","All","All","Number","Non-Working Parents",862
"Ashford","0901501430","2010-2014","Living with One Parent","All","Number","Non-Working Parents",210
"Ashford","0901501430","2010-2014","Living with One Parent","Not in Work Force","Number","Non-Working Parents",46
"Ashford","0901501430","2010-2014","Living with Two Parents","All","Number","Non-Working Parents",652
"Ashford","0901501430","2010-2014","Living with Two Parents","Not in Work Force","Number","Non-Working Parents",17
"Ashford","0901501430","2010-2014","Living with One Parent","All","Percent","Margin of Error",0.11
"Ashford","0901501430","2010-2014","Living with One Parent","Not in Work Force","Percent","Margin of Error",0.05
"Ashford","0901501430","2010-2014","Living with Two Parents","All","Percent","Margin of Error",0.11
"Ashford","0901501430","2010-2014","Living with Two Parents","Not in Work Force","Percent","Margin of Error",0.02
"Ashford","0901501430","2010-2014","Living with One Parent","All","Percent","Non-Working Parents",24.36
"Ashford","0901501430","2010-2014","Living with One Parent","Not in Work Force","Percent","Non-Working Parents",5.34
"Ashford","0901501430","2010-2014","Living with Two Parents","All","Percent","Non-Working Parents",75.64
"Ashford","0901501430","2010-2014","Living with Two Parents","Not in Work Force","Percent","Non-Working Parents",1.97
"Ashford","0901501430","2011-2015","All","All","Number","Margin of Error",119.97
"Ashford","0901501430","2011-2015","Living with One Parent","All","Number","Margin of Error",89.87
"Ashford","0901501430","2011-2015","Living with One Parent","Not in Work Force","Number","Margin of Error",28.86
"Ashford","0901501430","2011-2015","Living with Two Parents","All","Number","Margin of Error",115.21
"Ashford","0901501430","2011-2015","Living with Two Parents","Not in Work Force","Number","Margin of Error",22.02
"Ashford","0901501430","2011-2015","All","All","Number","Non-Working Parents",812
"Ashford","0901501430","2011-2015","Living with One Parent","All","Number","Non-Working Parents",180
"Ashford","0901501430","2011-2015","Living with One Parent","Not in Work Force","Number","Non-Working Parents",22
"Ashford","0901501430","2011-2015","Living with Two Parents","All","Number","Non-Working Parents",632
